Q1_Age,Q2_Gender,Q3_Education,Q4_LifeSatisfaction,Q5_CarOwnership,Q6_IncomeLevel,Q7_Employed,Q8_MaritalStatus,Q9_HomeOwner,Q10_HoursWorkedPerWeek,Q11_OE_Neighborhood,Q12_OE_FutureConcerns,Q13_OE_CustomerExperience,Q14_OE_WorkMotivation,Q15_OE_AdditionalComments
54,Other,Tertary,8,Yes,63816,Yes,Divorced,Yes,1,i dnt lik dogs barking but shops close by,climate chang and job loss,shop asistnt smild n said thankyou,i lov my job and coworkers,pls fix typos in u r questions
51,Male,Primry,6,Yes,79619,Yes,Marrid,Yes,19,green trees n cleen airr,no money to save fo future,great expiriense at restaurent,"money, and boss apriciashun",good luck with reserch
29,Male,Tertary,1,No,82025,Yes,Widowd,Yes,21,i dnt lik dogs barking but shops close by,i worrie bout kids educasion,great expiriense at restaurent,just need to suceed,good luck with reserch
59,Male,Secndary,7,No,85928,Yes,Widowd,No,57,noice is low and evryone frendly,no money to save fo future,got discount witout askin,"goals keep me going, even when tired",good luck with reserch
69,Male,Secndary,10,No,98631,Yes,Marrid,No,74,i dnt lik dogs barking but shops close by,no money to save fo future,great expiriense at restaurent,i lov my job and coworkers,thank u for lettin me say
24,Female,Tertary,1,Yes,59732,No,Single,No,15,i dnt lik dogs barking but shops close by,no money to save fo future,got discount witout askin,"goals keep me going, even when tired",this survery was long
54,Male,Primry,1,No,94019,Yes,Single,No,71,green trees n cleen airr,healthcare getin worse,shop asistnt smild n said thankyou,"goals keep me going, even when tired",no commnts
47,Female,Tertary,2,Yes,35203,No,Divorced,Yes,21,its saf and pecefull,war n unestability,great expiriense at restaurent,"goals keep me going, even when tired",this survery was long
27,Female,Secndary,7,No,95001,No,Divorced,Yes,0,i dnt lik dogs barking but shops close by,i worrie bout kids educasion,shop asistnt smild n said thankyou,"goals keep me going, even when tired",this survery was long
28,Female,Primry,2,No,45230,No,Divorced,No,18,its saf and pecefull,healthcare getin worse,got discount witout askin,"goals keep me going, even when tired",good luck with reserch
34,Male,Primry,3,Yes,81724,Yes,Marrid,No,40,noice is low and evryone frendly,war n unestability,the ladie at bank was reely helpfull,"goals keep me going, even when tired",this survery was long
37,Other,Secndary,10,Yes,45677,Yes,Single,Yes,65,i dnt lik dogs barking but shops close by,i worrie bout kids educasion,i calld support they sloved fast,my kidss and faimly,good luck with reserch
19,Female,Primry,6,No,32879,Yes,Divorced,Yes,36,green trees n cleen airr,healthcare getin worse,i calld support they sloved fast,"goals keep me going, even when tired",pls fix typos in u r questions
46,Male,Primry,5,Yes,67218,No,Divorced,Yes,4,i dnt lik dogs barking but shops close by,war n unestability,great expiriense at restaurent,i lov my job and coworkers,thank u for lettin me say
66,Female,Primry,7,Yes,55660,Yes,Marrid,Yes,59,noice is low and evryone frendly,i worrie bout kids educasion,the ladie at bank was reely helpfull,my kidss and faimly,no commnts
54,Female,Primry,1,Yes,85940,Yes,Widowd,No,68,green trees n cleen airr,climate chang and job loss,great expiriense at restaurent,"money, and boss apriciashun",this survery was long
54,Other,Primry,3,Yes,45059,No,Single,No,8,i dnt lik dogs barking but shops close by,i worrie bout kids educasion,great expiriense at restaurent,just need to suceed,no commnts
45,Female,Primry,9,No,23188,Yes,Widowd,No,27,green trees n cleen airr,no money to save fo future,i calld support they sloved fast,my kidss and faimly,pls fix typos in u r questions
59,Male,Tertary,9,Yes,43079,Yes,Widowd,Yes,62,its saf and pecefull,war n unestability,i calld support they sloved fast,i lov my job and coworkers,thank u for lettin me say
48,Male,Secndary,1,No,65788,Yes,Single,No,4,i lik the quite and neghbours,war n unestability,got discount witout askin,"money, and boss apriciashun",good luck with reserch
34,Male,Primry,10,Yes,37024,Yes,Marrid,Yes,46,noice is low and evryone frendly,i worrie bout kids educasion,great expiriense at restaurent,"money, and boss apriciashun",good luck with reserch
59,Female,Primry,2,Yes,83364,No,Single,No,64,i lik the quite and neghbours,war n unestability,the ladie at bank was reely helpfull,my kidss and faimly,thank u for lettin me say
18,Other,Secndary,2,Yes,59031,Yes,Divorced,Yes,76,its saf and pecefull,healthcare getin worse,i calld support they sloved fast,just need to suceed,this survery was long
23,Female,Tertary,6,Yes,14275,No,Single,Yes,36,i dnt lik dogs barking but shops close by,i worrie bout kids educasion,great expiriense at restaurent,"money, and boss apriciashun",no commnts
60,Female,Secndary,7,No,96273,Yes,Single,No,9,noice is low and evryone frendly,war n unestability,i calld support they sloved fast,my kidss and faimly,this survery was long
30,Other,Primry,9,No,24127,Yes,Divorced,Yes,67,i dnt lik dogs barking but shops close by,healthcare getin worse,got discount witout askin,i lov my job and coworkers,this survery was long
60,Other,Tertary,5,No,76180,No,Widowd,Yes,31,i lik the quite and neghbours,i worrie bout kids educasion,i calld support they sloved fast,my kidss and faimly,pls fix typos in u r questions
41,Other,Primry,1,No,79264,No,Marrid,Yes,28,i lik the quite and neghbours,i worrie bout kids educasion,great expiriense at restaurent,my kidss and faimly,thank u for lettin me say
32,Female,Secndary,9,No,54561,Yes,Marrid,Yes,79,i lik the quite and neghbours,no money to save fo future,shop asistnt smild n said thankyou,"money, and boss apriciashun",thank u for lettin me say
68,Female,Secndary,9,No,90818,No,Widowd,Yes,24,i lik the quite and neghbours,climate chang and job loss,the ladie at bank was reely helpfull,just need to suceed,no commnts
49,Other,Tertary,2,No,22249,No,Widowd,No,41,i lik the quite and neghbours,healthcare getin worse,great expiriense at restaurent,just need to suceed,good luck with reserch
58,Male,Primry,2,No,28700,Yes,Single,Yes,63,its saf and pecefull,no money to save fo future,great expiriense at restaurent,"money, and boss apriciashun",this survery was long
67,Male,Primry,10,No,92313,Yes,Single,No,10,i lik the quite and neghbours,climate chang and job loss,great expiriense at restaurent,my kidss and faimly,good luck with reserch
25,Male,Secndary,4,Yes,28536,No,Single,Yes,44,green trees n cleen airr,healthcare getin worse,great expiriense at restaurent,"goals keep me going, even when tired",good luck with reserch
61,Other,Secndary,2,No,11100,Yes,Single,No,23,i dnt lik dogs barking but shops close by,healthcare getin worse,great expiriense at restaurent,"money, and boss apriciashun",good luck with reserch
21,Male,Secndary,1,No,61343,No,Marrid,No,2,i lik the quite and neghbours,i worrie bout kids educasion,shop asistnt smild n said thankyou,just need to suceed,good luck with reserch
22,Other,Primry,5,Yes,75742,Yes,Divorced,No,0,green trees n cleen airr,healthcare getin worse,shop asistnt smild n said thankyou,my kidss and faimly,this survery was long
42,Male,Primry,5,Yes,76589,No,Widowd,Yes,67,green trees n cleen airr,climate chang and job loss,i calld support they sloved fast,i lov my job and coworkers,thank u for lettin me say
22,Female,Tertary,9,Yes,80713,Yes,Widowd,Yes,62,noice is low and evryone frendly,climate chang and job loss,i calld support they sloved fast,i lov my job and coworkers,good luck with reserch
54,Other,Primry,3,Yes,39799,No,Divorced,Yes,15,i lik the quite and neghbours,no money to save fo future,great expiriense at restaurent,my kidss and faimly,thank u for lettin me say
32,Other,Tertary,3,No,68534,No,Divorced,Yes,61,green trees n cleen airr,war n unestability,i calld support they sloved fast,my kidss and faimly,this survery was long
42,Other,Secndary,6,No,11743,Yes,Widowd,Yes,51,i lik the quite and neghbours,i worrie bout kids educasion,got discount witout askin,"goals keep me going, even when tired",no commnts
66,Other,Tertary,8,Yes,57340,Yes,Widowd,No,3,its saf and pecefull,war n unestability,got discount witout askin,"money, and boss apriciashun",good luck with reserch
59,Female,Secndary,1,No,37486,Yes,Single,No,75,i lik the quite and neghbours,healthcare getin worse,the ladie at bank was reely helpfull,"goals keep me going, even when tired",pls fix typos in u r questions
18,Other,Primry,4,No,81501,No,Marrid,No,78,green trees n cleen airr,healthcare getin worse,great expiriense at restaurent,just need to suceed,no commnts
38,Other,Tertary,6,Yes,65073,No,Single,No,13,green trees n cleen airr,war n unestability,the ladie at bank was reely helpfull,just need to suceed,this survery was long
29,Male,Tertary,6,No,46060,Yes,Marrid,No,2,i dnt lik dogs barking but shops close by,no money to save fo future,shop asistnt smild n said thankyou,"goals keep me going, even when tired",thank u for lettin me say
45,Other,Tertary,5,Yes,58149,No,Marrid,No,26,green trees n cleen airr,climate chang and job loss,shop asistnt smild n said thankyou,my kidss and faimly,good luck with reserch
32,Male,Secndary,7,Yes,90263,No,Marrid,Yes,11,its saf and pecefull,i worrie bout kids educasion,great expiriense at restaurent,my kidss and faimly,pls fix typos in u r questions
63,Other,Tertary,3,Yes,15272,Yes,Marrid,Yes,79,noice is low and evryone frendly,i worrie bout kids educasion,the ladie at bank was reely helpfull,"goals keep me going, even when tired",this survery was long
36,Male,Tertary,9,No,27154,Yes,Widowd,No,68,noice is low and evryone frendly,climate chang and job loss,the ladie at bank was reely helpfull,"money, and boss apriciashun",pls fix typos in u r questions
67,Female,Tertary,10,Yes,20877,No,Widowd,No,29,i lik the quite and neghbours,i worrie bout kids educasion,great expiriense at restaurent,i lov my job and coworkers,no commnts
31,Female,Primry,2,Yes,93983,No,Marrid,No,62,i dnt lik dogs barking but shops close by,climate chang and job loss,shop asistnt smild n said thankyou,"goals keep me going, even when tired",good luck with reserch
27,Female,Primry,7,Yes,59842,No,Single,No,12,its saf and pecefull,healthcare getin worse,got discount witout askin,my kidss and faimly,this survery was long
42,Male,Primry,5,No,78043,Yes,Single,No,17,i lik the quite and neghbours,climate chang and job loss,shop asistnt smild n said thankyou,"goals keep me going, even when tired",thank u for lettin me say
58,Male,Secndary,8,Yes,37048,No,Divorced,Yes,23,i lik the quite and neghbours,i worrie bout kids educasion,the ladie at bank was reely helpfull,"money, and boss apriciashun",thank u for lettin me say
30,Other,Secndary,6,Yes,10604,Yes,Divorced,Yes,39,noice is low and evryone frendly,war n unestability,got discount witout askin,"goals keep me going, even when tired",pls fix typos in u r questions
26,Male,Secndary,8,Yes,60103,Yes,Single,No,0,i lik the quite and neghbours,climate chang and job loss,the ladie at bank was reely helpfull,"goals keep me going, even when tired",no commnts
60,Male,Primry,4,No,20734,Yes,Divorced,Yes,13,noice is low and evryone frendly,i worrie bout kids educasion,great expiriense at restaurent,just need to suceed,this survery was long
45,Male,Secndary,7,No,79598,No,Single,Yes,13,i lik the quite and neghbours,war n unestability,i calld support they sloved fast,i lov my job and coworkers,thank u for lettin me say
60,Female,Primry,3,No,81651,Yes,Single,No,10,i dnt lik dogs barking but shops close by,climate chang and job loss,got discount witout askin,my kidss and faimly,thank u for lettin me say
23,Other,Secndary,7,Yes,83552,No,Marrid,No,41,noice is low and evryone frendly,i worrie bout kids educasion,great expiriense at restaurent,i lov my job and coworkers,this survery was long
42,Female,Primry,9,No,60197,Yes,Widowd,Yes,44,i dnt lik dogs barking but shops close by,climate chang and job loss,shop asistnt smild n said thankyou,just need to suceed,this survery was long
39,Other,Tertary,4,No,27697,No,Marrid,No,62,i lik the quite and neghbours,no money to save fo future,shop asistnt smild n said thankyou,my kidss and faimly,pls fix typos in u r questions
58,Other,Tertary,10,No,57207,Yes,Single,Yes,70,i dnt lik dogs barking but shops close by,no money to save fo future,great expiriense at restaurent,"money, and boss apriciashun",pls fix typos in u r questions
23,Male,Primry,2,Yes,62521,No,Single,No,33,i dnt lik dogs barking but shops close by,climate chang and job loss,shop asistnt smild n said thankyou,my kidss and faimly,pls fix typos in u r questions
33,Female,Primry,9,Yes,42602,Yes,Widowd,Yes,20,noice is low and evryone frendly,climate chang and job loss,shop asistnt smild n said thankyou,i lov my job and coworkers,good luck with reserch
68,Male,Tertary,5,Yes,24279,No,Divorced,No,36,noice is low and evryone frendly,climate chang and job loss,got discount witout askin,my kidss and faimly,this survery was long
37,Female,Secndary,10,No,61860,No,Single,Yes,33,noice is low and evryone frendly,healthcare getin worse,great expiriense at restaurent,i lov my job and coworkers,thank u for lettin me say
34,Female,Tertary,6,No,14109,No,Marrid,No,63,its saf and pecefull,no money to save fo future,shop asistnt smild n said thankyou,"goals keep me going, even when tired",no commnts
55,Other,Secndary,9,Yes,91706,Yes,Widowd,Yes,48,i lik the quite and neghbours,climate chang and job loss,great expiriense at restaurent,just need to suceed,no commnts
24,Female,Tertary,7,Yes,28434,No,Widowd,No,74,its saf and pecefull,climate chang and job loss,great expiriense at restaurent,"money, and boss apriciashun",pls fix typos in u r questions
21,Male,Secndary,6,Yes,52892,No,Marrid,No,34,noice is low and evryone frendly,no money to save fo future,got discount witout askin,"money, and boss apriciashun",good luck with reserch
51,Female,Secndary,10,Yes,98197,Yes,Single,Yes,58,noice is low and evryone frendly,healthcare getin worse,shop asistnt smild n said thankyou,my kidss and faimly,no commnts
34,Female,Primry,8,Yes,55780,Yes,Marrid,Yes,37,noice is low and evryone frendly,i worrie bout kids educasion,got discount witout askin,"money, and boss apriciashun",thank u for lettin me say
59,Female,Secndary,3,Yes,24942,Yes,Single,No,14,i lik the quite and neghbours,healthcare getin worse,great expiriense at restaurent,"money, and boss apriciashun",no commnts
66,Female,Primry,1,Yes,12263,Yes,Marrid,No,49,green trees n cleen airr,war n unestability,i calld support they sloved fast,"money, and boss apriciashun",this survery was long
65,Male,Primry,3,Yes,11612,Yes,Widowd,No,22,its saf and pecefull,i worrie bout kids educasion,great expiriense at restaurent,"goals keep me going, even when tired",no commnts
40,Male,Tertary,6,Yes,47740,No,Divorced,No,69,i lik the quite and neghbours,no money to save fo future,the ladie at bank was reely helpfull,"money, and boss apriciashun",good luck with reserch
50,Male,Primry,9,No,78978,Yes,Divorced,No,61,its saf and pecefull,no money to save fo future,great expiriense at restaurent,"money, and boss apriciashun",thank u for lettin me say
56,Other,Tertary,7,No,42246,Yes,Marrid,No,6,green trees n cleen airr,i worrie bout kids educasion,shop asistnt smild n said thankyou,"goals keep me going, even when tired",no commnts
24,Male,Primry,2,No,20671,No,Widowd,No,3,noice is low and evryone frendly,climate chang and job loss,got discount witout askin,my kidss and faimly,good luck with reserch
23,Male,Tertary,5,Yes,61974,Yes,Divorced,No,58,its saf and pecefull,no money to save fo future,got discount witout askin,i lov my job and coworkers,no commnts
32,Other,Primry,5,No,12020,No,Marrid,Yes,47,i lik the quite and neghbours,i worrie bout kids educasion,the ladie at bank was reely helpfull,my kidss and faimly,good luck with reserch
57,Male,Primry,7,No,10110,Yes,Widowd,Yes,74,noice is low and evryone frendly,no money to save fo future,i calld support they sloved fast,"money, and boss apriciashun",good luck with reserch
25,Other,Primry,1,Yes,37782,Yes,Widowd,Yes,71,i lik the quite and neghbours,war n unestability,shop asistnt smild n said thankyou,"money, and boss apriciashun",good luck with reserch
50,Male,Tertary,4,Yes,56450,No,Divorced,Yes,18,i lik the quite and neghbours,no money to save fo future,i calld support they sloved fast,"goals keep me going, even when tired",thank u for lettin me say
30,Female,Tertary,6,No,95416,No,Marrid,No,10,noice is low and evryone frendly,no money to save fo future,the ladie at bank was reely helpfull,just need to suceed,this survery was long
69,Other,Secndary,8,Yes,29291,No,Marrid,Yes,28,its saf and pecefull,war n unestability,got discount witout askin,"money, and boss apriciashun",good luck with reserch
60,Other,Secndary,8,Yes,61961,No,Marrid,No,24,noice is low and evryone frendly,no money to save fo future,shop asistnt smild n said thankyou,just need to suceed,no commnts
45,Male,Secndary,10,Yes,87995,No,Divorced,Yes,48,green trees n cleen airr,climate chang and job loss,i calld support they sloved fast,i lov my job and coworkers,this survery was long
26,Other,Tertary,6,No,97563,No,Divorced,No,57,green trees n cleen airr,no money to save fo future,i calld support they sloved fast,"money, and boss apriciashun",good luck with reserch
51,Male,Tertary,7,Yes,32030,Yes,Divorced,No,53,i dnt lik dogs barking but shops close by,i worrie bout kids educasion,got discount witout askin,"money, and boss apriciashun",thank u for lettin me say
21,Female,Secndary,6,Yes,25752,Yes,Divorced,Yes,47,i dnt lik dogs barking but shops close by,war n unestability,the ladie at bank was reely helpfull,"money, and boss apriciashun",thank u for lettin me say
21,Male,Primry,1,Yes,93983,Yes,Divorced,No,65,its saf and pecefull,healthcare getin worse,great expiriense at restaurent,just need to suceed,pls fix typos in u r questions
54,Other,Tertary,10,No,77140,No,Marrid,No,58,i lik the quite and neghbours,no money to save fo future,the ladie at bank was reely helpfull,"money, and boss apriciashun",good luck with reserch
50,Male,Secndary,4,Yes,36407,No,Single,Yes,5,noice is low and evryone frendly,healthcare getin worse,shop asistnt smild n said thankyou,"money, and boss apriciashun",thank u for lettin me say
33,Other,Secndary,4,No,82600,No,Divorced,No,23,noice is low and evryone frendly,war n unestability,got discount witout askin,"money, and boss apriciashun",thank u for lettin me say
36,Other,Primry,8,Yes,23448,No,Widowd,Yes,47,i lik the quite and neghbours,i worrie bout kids educasion,shop asistnt smild n said thankyou,i lov my job and coworkers,good luck with reserch
40,Male,Secndary,10,No,18517,No,Divorced,No,44,i dnt lik dogs barking but shops close by,climate chang and job loss,shop asistnt smild n said thankyou,my kidss and faimly,thank u for lettin me say
27,Female,Tertary,10,No,53641,Yes,Marrid,No,72,i lik the quite and neghbours,i worrie bout kids educasion,i calld support they sloved fast,my kidss and faimly,good luck with reserch
41,Other,Primry,8,No,31958,Yes,Single,Yes,5,noice is low and evryone frendly,healthcare getin worse,i calld support they sloved fast,"goals keep me going, even when tired",pls fix typos in u r questions
32,Male,Tertary,10,No,59504,No,Divorced,No,50,green trees n cleen airr,war n unestability,shop asistnt smild n said thankyou,"goals keep me going, even when tired",thank u for lettin me say
64,Female,Primry,10,Yes,35340,Yes,Single,Yes,60,green trees n cleen airr,i worrie bout kids educasion,shop asistnt smild n said thankyou,i lov my job and coworkers,no commnts
35,Other,Tertary,6,Yes,41639,No,Divorced,Yes,10,green trees n cleen airr,war n unestability,shop asistnt smild n said thankyou,my kidss and faimly,good luck with reserch
38,Male,Primry,2,No,68434,Yes,Divorced,Yes,42,i dnt lik dogs barking but shops close by,i worrie bout kids educasion,great expiriense at restaurent,i lov my job and coworkers,good luck with reserch
39,Male,Tertary,9,Yes,98920,No,Widowd,Yes,1,i dnt lik dogs barking but shops close by,i worrie bout kids educasion,i calld support they sloved fast,my kidss and faimly,pls fix typos in u r questions
20,Female,Tertary,1,Yes,62502,Yes,Single,Yes,64,its saf and pecefull,i worrie bout kids educasion,shop asistnt smild n said thankyou,my kidss and faimly,pls fix typos in u r questions
48,Male,Secndary,5,No,60175,No,Marrid,Yes,44,green trees n cleen airr,i worrie bout kids educasion,got discount witout askin,my kidss and faimly,this survery was long
68,Female,Secndary,2,Yes,77917,Yes,Marrid,Yes,30,i lik the quite and neghbours,climate chang and job loss,the ladie at bank was reely helpfull,just need to suceed,no commnts
40,Female,Primry,6,Yes,90167,No,Marrid,No,67,its saf and pecefull,climate chang and job loss,got discount witout askin,i lov my job and coworkers,thank u for lettin me say
31,Male,Primry,4,No,34571,No,Divorced,No,28,green trees n cleen airr,war n unestability,great expiriense at restaurent,just need to suceed,thank u for lettin me say
25,Female,Primry,1,Yes,86401,Yes,Marrid,No,22,green trees n cleen airr,healthcare getin worse,great expiriense at restaurent,just need to suceed,pls fix typos in u r questions
39,Female,Primry,7,Yes,73433,Yes,Widowd,Yes,2,noice is low and evryone frendly,i worrie bout kids educasion,i calld support they sloved fast,just need to suceed,thank u for lettin me say
47,Other,Tertary,4,Yes,65020,No,Single,Yes,47,i lik the quite and neghbours,war n unestability,i calld support they sloved fast,"goals keep me going, even when tired",thank u for lettin me say
18,Female,Primry,6,Yes,13691,Yes,Marrid,No,13,green trees n cleen airr,climate chang and job loss,got discount witout askin,"money, and boss apriciashun",thank u for lettin me say
57,Male,Secndary,2,No,60878,No,Widowd,Yes,0,i lik the quite and neghbours,war n unestability,the ladie at bank was reely helpfull,my kidss and faimly,no commnts
57,Female,Secndary,7,No,57338,Yes,Widowd,No,49,i dnt lik dogs barking but shops close by,i worrie bout kids educasion,got discount witout askin,just need to suceed,this survery was long
45,Male,Tertary,5,Yes,45766,Yes,Single,Yes,31,green trees n cleen airr,war n unestability,the ladie at bank was reely helpfull,my kidss and faimly,no commnts
42,Male,Tertary,4,Yes,21853,Yes,Marrid,No,49,i lik the quite and neghbours,healthcare getin worse,shop asistnt smild n said thankyou,my kidss and faimly,good luck with reserch
29,Other,Secndary,10,No,99896,No,Marrid,No,6,i dnt lik dogs barking but shops close by,war n unestability,i calld support they sloved fast,"goals keep me going, even when tired",this survery was long
31,Male,Primry,6,Yes,87443,No,Divorced,No,62,noice is low and evryone frendly,no money to save fo future,the ladie at bank was reely helpfull,"goals keep me going, even when tired",pls fix typos in u r questions
47,Male,Tertary,1,No,88260,Yes,Marrid,No,21,i dnt lik dogs barking but shops close by,i worrie bout kids educasion,i calld support they sloved fast,just need to suceed,thank u for lettin me say
43,Female,Tertary,10,Yes,30892,Yes,Divorced,No,52,i lik the quite and neghbours,war n unestability,i calld support they sloved fast,my kidss and faimly,pls fix typos in u r questions
36,Other,Secndary,10,Yes,49819,Yes,Marrid,Yes,31,i lik the quite and neghbours,climate chang and job loss,great expiriense at restaurent,"money, and boss apriciashun",this survery was long
50,Male,Primry,4,No,28331,No,Marrid,No,68,its saf and pecefull,no money to save fo future,got discount witout askin,just need to suceed,no commnts
66,Other,Tertary,8,No,84353,No,Divorced,No,36,green trees n cleen airr,climate chang and job loss,i calld support they sloved fast,"money, and boss apriciashun",thank u for lettin me say
45,Male,Secndary,3,Yes,53759,Yes,Divorced,No,73,green trees n cleen airr,war n unestability,the ladie at bank was reely helpfull,i lov my job and coworkers,pls fix typos in u r questions
18,Male,Primry,8,No,77489,Yes,Widowd,Yes,52,green trees n cleen airr,climate chang and job loss,great expiriense at restaurent,my kidss and faimly,good luck with reserch
67,Male,Secndary,3,No,21572,Yes,Divorced,No,78,green trees n cleen airr,healthcare getin worse,got discount witout askin,"money, and boss apriciashun",thank u for lettin me say
50,Other,Tertary,10,Yes,43029,No,Single,Yes,45,green trees n cleen airr,war n unestability,great expiriense at restaurent,"goals keep me going, even when tired",good luck with reserch
63,Female,Tertary,2,No,20870,Yes,Divorced,Yes,66,its saf and pecefull,climate chang and job loss,shop asistnt smild n said thankyou,just need to suceed,thank u for lettin me say
20,Female,Primry,8,Yes,90783,Yes,Single,Yes,43,its saf and pecefull,war n unestability,the ladie at bank was reely helpfull,"money, and boss apriciashun",good luck with reserch
48,Male,Tertary,7,Yes,86702,Yes,Widowd,Yes,71,i dnt lik dogs barking but shops close by,i worrie bout kids educasion,i calld support they sloved fast,"goals keep me going, even when tired",good luck with reserch
60,Female,Tertary,2,Yes,19290,No,Marrid,No,62,i lik the quite and neghbours,no money to save fo future,great expiriense at restaurent,i lov my job and coworkers,this survery was long
45,Other,Tertary,9,Yes,48362,No,Single,No,15,i dnt lik dogs barking but shops close by,war n unestability,the ladie at bank was reely helpfull,just need to suceed,this survery was long
69,Male,Secndary,6,No,58118,Yes,Divorced,No,3,noice is low and evryone frendly,war n unestability,shop asistnt smild n said thankyou,just need to suceed,no commnts
28,Female,Secndary,2,No,42357,No,Marrid,No,21,i dnt lik dogs barking but shops close by,no money to save fo future,shop asistnt smild n said thankyou,"money, and boss apriciashun",no commnts
59,Male,Secndary,6,No,49029,Yes,Widowd,Yes,33,its saf and pecefull,healthcare getin worse,got discount witout askin,"goals keep me going, even when tired",good luck with reserch
45,Male,Primry,1,Yes,85524,Yes,Marrid,No,17,i dnt lik dogs barking but shops close by,climate chang and job loss,shop asistnt smild n said thankyou,i lov my job and coworkers,thank u for lettin me say
66,Female,Tertary,4,No,70275,Yes,Marrid,Yes,62,i lik the quite and neghbours,healthcare getin worse,i calld support they sloved fast,"goals keep me going, even when tired",good luck with reserch
21,Other,Secndary,7,Yes,82259,Yes,Single,No,27,noice is low and evryone frendly,climate chang and job loss,i calld support they sloved fast,my kidss and faimly,good luck with reserch
68,Other,Primry,4,Yes,14928,Yes,Widowd,No,42,its saf and pecefull,war n unestability,shop asistnt smild n said thankyou,i lov my job and coworkers,this survery was long
46,Female,Primry,4,No,13287,No,Marrid,Yes,42,noice is low and evryone frendly,war n unestability,the ladie at bank was reely helpfull,i lov my job and coworkers,pls fix typos in u r questions
43,Other,Tertary,1,No,93756,No,Marrid,Yes,12,noice is low and evryone frendly,war n unestability,i calld support they sloved fast,"goals keep me going, even when tired",no commnts
31,Other,Tertary,8,No,59521,No,Divorced,No,1,i lik the quite and neghbours,i worrie bout kids educasion,got discount witout askin,"goals keep me going, even when tired",good luck with reserch
46,Male,Primry,4,No,57594,No,Divorced,Yes,38,i dnt lik dogs barking but shops close by,no money to save fo future,got discount witout askin,my kidss and faimly,no commnts
63,Male,Primry,4,Yes,96417,Yes,Single,Yes,44,its saf and pecefull,no money to save fo future,great expiriense at restaurent,"goals keep me going, even when tired",thank u for lettin me say
19,Male,Tertary,5,Yes,85443,No,Widowd,Yes,79,i dnt lik dogs barking but shops close by,healthcare getin worse,the ladie at bank was reely helpfull,just need to suceed,pls fix typos in u r questions
50,Female,Tertary,5,Yes,59013,Yes,Marrid,Yes,27,i lik the quite and neghbours,i worrie bout kids educasion,shop asistnt smild n said thankyou,"money, and boss apriciashun",no commnts
18,Male,Secndary,3,Yes,10910,No,Divorced,No,77,green trees n cleen airr,i worrie bout kids educasion,i calld support they sloved fast,"goals keep me going, even when tired",good luck with reserch
63,Male,Primry,10,No,79263,No,Widowd,Yes,67,i lik the quite and neghbours,i worrie bout kids educasion,shop asistnt smild n said thankyou,"money, and boss apriciashun",thank u for lettin me say
57,Male,Primry,8,No,55752,Yes,Widowd,Yes,17,i lik the quite and neghbours,war n unestability,the ladie at bank was reely helpfull,just need to suceed,thank u for lettin me say
53,Male,Tertary,1,No,96552,No,Divorced,No,55,its saf and pecefull,climate chang and job loss,shop asistnt smild n said thankyou,just need to suceed,pls fix typos in u r questions
40,Female,Secndary,8,No,78596,Yes,Divorced,No,43,green trees n cleen airr,healthcare getin worse,i calld support they sloved fast,i lov my job and coworkers,thank u for lettin me say
24,Other,Tertary,5,No,75776,No,Single,No,32,green trees n cleen airr,climate chang and job loss,the ladie at bank was reely helpfull,my kidss and faimly,good luck with reserch
65,Male,Secndary,6,No,62680,No,Marrid,Yes,67,i dnt lik dogs barking but shops close by,no money to save fo future,great expiriense at restaurent,my kidss and faimly,good luck with reserch
68,Female,Primry,9,Yes,58064,Yes,Widowd,Yes,36,green trees n cleen airr,no money to save fo future,great expiriense at restaurent,i lov my job and coworkers,good luck with reserch
22,Female,Tertary,7,No,87295,Yes,Divorced,Yes,12,its saf and pecefull,healthcare getin worse,i calld support they sloved fast,i lov my job and coworkers,no commnts
30,Female,Primry,9,No,91235,Yes,Widowd,No,3,its saf and pecefull,war n unestability,the ladie at bank was reely helpfull,"money, and boss apriciashun",this survery was long
46,Other,Secndary,7,Yes,57008,Yes,Marrid,No,7,i lik the quite and neghbours,climate chang and job loss,i calld support they sloved fast,my kidss and faimly,this survery was long
49,Female,Secndary,9,Yes,80129,Yes,Marrid,Yes,29,green trees n cleen airr,climate chang and job loss,the ladie at bank was reely helpfull,i lov my job and coworkers,thank u for lettin me say
57,Female,Primry,1,No,15600,No,Single,Yes,56,its saf and pecefull,healthcare getin worse,the ladie at bank was reely helpfull,my kidss and faimly,this survery was long
48,Male,Tertary,9,No,43796,Yes,Marrid,No,60,i dnt lik dogs barking but shops close by,no money to save fo future,i calld support they sloved fast,i lov my job and coworkers,pls fix typos in u r questions
54,Male,Primry,6,Yes,94896,Yes,Single,No,17,i lik the quite and neghbours,i worrie bout kids educasion,the ladie at bank was reely helpfull,just need to suceed,thank u for lettin me say
25,Other,Primry,1,No,85487,Yes,Divorced,No,61,its saf and pecefull,healthcare getin worse,i calld support they sloved fast,my kidss and faimly,pls fix typos in u r questions
63,Other,Primry,6,No,32128,Yes,Widowd,Yes,46,noice is low and evryone frendly,climate chang and job loss,got discount witout askin,just need to suceed,this survery was long
47,Other,Tertary,9,No,50726,No,Single,Yes,51,i lik the quite and neghbours,climate chang and job loss,got discount witout askin,my kidss and faimly,thank u for lettin me say
